Order Date,Batch #,Category,Style,Color / Type,Size,Seller,Item name,Sale Price,CNY Per,USD Per,Arrived?,Quantity,Quantity Arrived,SKU Main,SKU Specific,SKU Number,Total CNY,Total USD,Notes
1/16/2026,5,Jewelry,SPinkap,Small,N/A,Gyencha,Small Pinkap,$5.00,¥8.00,$1.14,FALSE,12,,gcSPinkap,gcSPinkapSmall,,¥96.00,$13.66,
1/16/2026,5,Jewelry,BPinkap,Big,N/A,Gyencha,Pinkap,$8.00,¥9.00,$1.28,FALSE,3,,gcBPinkap,gcBPinkapBig,,¥27.00,$3.84,
1/16/2026,5,Jewelry,LapChain3,darksilverg,N/A,Gyencha,3 Chain Lap Rack,$30.00,¥45.00,$6.40,FALSE,2,,gcLapChain3,gcLapChain3darksilverg,,¥90.00,$12.80,
1/16/2026,5,Jewelry,Lulong,MDarkGold,N/A,Gyencha,Medium Lulong Pair,$35.00,¥40.00,$5.69,FALSE,1,,gcLulong,gcLulongMDarkGold,,¥40.00,$5.69,one lulong
1/16/2026,5,Jewelry,Lulong,MDarkGold,N/A,Gyencha,Medium Lulong Pair,$35.00,¥35.00,$4.98,FALSE,1,,gcLulong,gcLulongMDarkGold,,¥35.00,$4.98,one lulong
1/16/2026,5,Jewelry,GanaEarring,Coral,N/A,Xia Earrings,Gana Earring,$20.00,¥35.00,$4.98,TRUE,4,,xiaGanaEarring,xiaGanaEarringCoral,,¥140.00,$19.91,
1/16/2026,5,Jewelry,StraightStack,Coral,N/A,Xia Earrings,Straight Stack Earring,$20.00,¥28.00,$3.98,TRUE,4,,xiaStraightStack,xiaStraightStackCoral,,¥112.00,$15.93,
1/16/2026,5,Jewelry,LongStack,Turqoise,N/A,Xia Earrings,Long Stack Earring,$20.00,¥28.00,$3.98,TRUE,4,,xiaLongStack,xiaLongStackTurqoise,,¥112.00,$15.93,
1/16/2026,5,Jewelry,CoralStack,Red,N/A,Xia Earrings,Coral Stack Earring,$15.00,¥28.00,$3.98,TRUE,4,,xiaCoralStack,xiaCoralStackRed,,¥112.00,$15.93,
1/16/2026,5,Jewelry,CoralStack,Blue,N/A,Xia Earrings,Coral Stack Earring,$15.00,¥28.00,$3.98,TRUE,4,,xiaCoralStack,xiaCoralStackBlue,,¥112.00,$15.93,
1/16/2026,5,Jewelry,Pinkap,Red,N/A,TaoBao,Slim Pinkap,$10.00,¥20.04,$2.85,TRUE,6,,tbPinkap,tbPinkapRed,,¥120.24,$17.10,
1/16/2026,5,Jewelry,Pinkap,Blue,N/A,TaoBao,Slim Pinkap,$10.00,¥20.04,$2.85,TRUE,6,,tbPinkap,tbPinkapBlue,,¥120.24,$17.10,
1/16/2026,5,Jewelry,DziPinkap,Red,N/A,TaoBao,Dzi Pinkap,$10.00,¥20.04,$2.85,TRUE,6,,tbDziPinkap,tbDziPinkapRed,,¥120.24,$17.10,
1/16/2026,5,Jewelry,DziPinkap,Blue,N/A,TaoBao,Dzi Pinkap,$10.00,¥20.04,$2.85,TRUE,6,,tbDziPinkap,tbDziPinkapBlue,,¥120.24,$17.10,
1/16/2026,5,Wonju,BoldDhiWonju,Black,XL,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,2,,rcBoldDhiWonju,rcBoldDhiWonjuBlackXL,,¥176.00,$25.04,
1/16/2026,5,Wonju,BoldDhiWonju,Black,XXL,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuBlackXXL,,¥88.00,$12.52,
1/16/2026,5,Wonju,BoldDhiWonju,Burgundy,L,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuBurgundyL,,¥88.00,$12.52,
1/16/2026,5,Wonju,BoldDhiWonju,Burgundy,XL,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuBurgundyXL,,¥88.00,$12.52,
1/16/2026,5,Wonju,BoldDhiWonju,Pink,XL,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuPinkXL,,¥88.00,$12.52,
1/16/2026,5,Wonju,BoldDhiWonju,Pink,XXL,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuPinkXXL,,¥88.00,$12.52,
1/16/2026,5,Wonju,BoldDhiWonju,White,L,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuWhiteL,,¥88.00,$12.52,
1/16/2026,5,Wonju,BoldDhiWonju,Orange,XL,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuOrangeXL,,¥88.00,$12.52,
1/16/2026,5,Wonju,BoldDhiWonju,Purple,M,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuPurpleM,,¥88.00,$12.52,
1/16/2026,5,Wonju,BoldDhiWonju,Purple,L,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,2,,rcBoldDhiWonju,rcBoldDhiWonjuPurpleL,,¥176.00,$25.04,
1/16/2026,5,Wonju,BoldDhiWonju,Purple,XL,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,3,,rcBoldDhiWonju,rcBoldDhiWonjuPurpleXL,,¥264.00,$37.55,
1/16/2026,5,Wonju,BoldDhiWonju,Purple,XXL,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,2,,rcBoldDhiWonju,rcBoldDhiWonjuPurpleXXL,,¥176.00,$25.04,
1/16/2026,5,Wonju,BoldDhiWonju,Purple,3XL,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuPurple3XL,,¥88.00,$12.52,
1/16/2026,5,Wonju,BoldDhiWonju,Blue,M,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,2,,rcBoldDhiWonju,rcBoldDhiWonjuBlueM,,¥176.00,$25.04,
1/16/2026,5,Wonju,BoldDhiWonju,Blue,XL,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,3,,rcBoldDhiWonju,rcBoldDhiWonjuBlueXL,,¥264.00,$37.55,
1/16/2026,5,Wonju,BoldDhiWonju,Blue,XXL,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,2,,rcBoldDhiWonju,rcBoldDhiWonjuBlueXXL,,¥176.00,$25.04,
1/16/2026,5,Wonju,BoldDhiWonju,Blue,3XL,Ram's Clothing,Bold Dhi Wonju,$35.00,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuBlue3XL,,¥88.00,$12.52,
1/16/2026,5,Wonju,BrocadeSweatie,Black,L,G-Purple,Brocade Sweatshirt,$55.00,¥149.00,$21.19,FALSE,3,,gpBrocadeSweatie,gpBrocadeSweatieBlackL,,¥447.00,$63.58,
1/16/2026,5,Wonju,BrocadeSweatie,Black,XL,G-Purple,Brocade Sweatshirt,$55.00,¥149.00,$21.19,FALSE,3,,gpBrocadeSweatie,gpBrocadeSweatieBlackXL,,¥447.00,$63.58,
1/16/2026,5,Wonju,BrocadeSweatie,Black,XXL,G-Purple,Brocade Sweatshirt,$55.00,¥149.00,$21.19,FALSE,1,,gpBrocadeSweatie,gpBrocadeSweatieBlackXXL,,¥149.00,$21.19,
1/16/2026,5,Wonju,HoodieSweatie,Black,L,G-Purple,Hoodie Sweatshirt,$55.00,¥149.00,$21.19,FALSE,1,,gpHoodieSweatie,gpHoodieSweatieBlackL,,¥149.00,$21.19,
1/16/2026,5,Wonju,HoodieSweatie,Black,XL,G-Purple,Hoodie Sweatshirt,$55.00,¥149.00,$21.19,FALSE,1,,gpHoodieSweatie,gpHoodieSweatieBlackXL,,¥149.00,$21.19,
1/16/2026,5,Wonju,HoodieSweatie,Brown,L,G-Purple,Hoodie Sweatshirt,$55.00,¥149.00,$21.19,FALSE,1,,gpHoodieSweatie,gpHoodieSweatieBrownL,,¥149.00,$21.19,
1/16/2026,5,Wonju,HoodieSweatie,Brown,XL,G-Purple,Hoodie Sweatshirt,$55.00,¥149.00,$21.19,FALSE,1,,gpHoodieSweatie,gpHoodieSweatieBrownXL,,¥149.00,$21.19,
1/16/2026,5,Wonju,HoodieSweatie,Brown,XXL,G-Purple,Hoodie Sweatshirt,$55.00,¥149.00,$21.19,FALSE,1,,gpHoodieSweatie,gpHoodieSweatieBrownXXL,,¥149.00,$21.19,
1/16/2026,5,Chupa,MenFold,BlueBlack,L,Phama Tsering Logya,Graceful Chupa,$75.00,¥190.00,$27.03,FALSE,1,,ptlMenFold,ptlMenFoldBlueBlackL,,¥190.00,$27.03,
1/16/2026,5,Chupa,MenFold,BlueBlack,XL,Phama Tsering Logya,Graceful Chupa,$75.00,¥190.00,$27.03,FALSE,1,,ptlElegant,ptlElegantBlackGrayXL,,¥190.00,$27.03,
1/16/2026,5,Chupa,Elegant,BlackGray,L,Phama Tsering Logya,Elegant Chupa,$80.00,¥220.00,$31.29,FALSE,1,,#REF!,#REF!,,¥220.00,$31.29,
1/16/2026,5,Chupa,Sparkle,Red,L,Phama Tsering Logya,Sparkle Chupas,$75.00,¥175.00,$24.89,FALSE,3,,ptlSparkle,ptlSparkleRedL,,¥525.00,$74.68,
1/16/2026,5,Chupa,Sparkle,Red,XL,Phama Tsering Logya,Sparkle Chupas,$75.00,¥175.00,$24.89,FALSE,2,,ptlSparkle,ptlSparkleRedXL,,¥350.00,$49.79,
1/16/2026,5,Chupa,Sparkle,Red,XXL,Phama Tsering Logya,Sparkle Chupas,$75.00,¥175.00,$24.89,FALSE,1,,ptlSparkle,ptlSparkleRedXXL,,¥175.00,$24.89,
1/16/2026,5,Wonju,LeatherJacket,Black,M,douyin girl,Leather Jacket,$55.00,¥195.00,$27.74,FALSE,2,,dyLeatherJacket,dyLeatherJacketBlackM,,¥390.00,$55.48,
1/16/2026,5,Wonju,LeatherJacket,Black,L,douyin girl,Leather Jacket,$55.00,¥195.00,$27.74,FALSE,3,,dyLeatherJacket,dyLeatherJacketBlackL,,¥585.00,$83.21,
1/16/2026,5,Wonju,LeatherJacket,Black,XL,douyin girl,Leather Jacket,$55.00,¥195.00,$27.74,FALSE,2,,dyLeatherJacket,dyLeatherJacketBlackXL,,¥390.00,$55.48,
1/16/2026,5,Wonju,LeatherJacket,White,M,douyin girl,Leather Jacket,$55.00,¥195.00,$27.74,FALSE,2,,dyLeatherJacket,dyLeatherJacketWhiteM,,¥390.00,$55.48,
1/16/2026,5,Wonju,LeatherJacket,White,XL,douyin girl,Leather Jacket,$55.00,¥195.00,$27.74,FALSE,1,,dyLeatherJacket,dyLeatherJacketWhiteXL,,¥195.00,$27.74,